epoch,accuracy,loss,val_accuracy,val_loss
0,0.27132999897003174,1.978008508682251,0.31810036301612854,1.7750904560089111
1,0.3051173985004425,1.7692490816116333,0.33243727684020996,1.6938050985336304
2,0.3119286596775055,1.7391154766082764,0.3234767019748688,1.7157013416290283
3,0.31936725974082947,1.698183536529541,0.3224014341831207,1.7693225145339966
4,0.3278813362121582,1.6998800039291382,0.338172048330307,1.6410529613494873
5,0.3288671672344208,1.6802523136138916,0.32508960366249084,1.6820316314697266
6,0.31900879740715027,1.7174087762832642,0.34820789098739624,1.6183061599731445
7,0.3302115201950073,1.665757417678833,0.33189964294433594,1.597357988357544
8,0.3343341052532196,1.6515268087387085,0.3405017852783203,1.5935579538345337
9,0.34643304347991943,1.613438606262207,0.35304659605026245,1.5534945726394653
10,0.3477773666381836,1.6044421195983887,0.3637992739677429,1.5429234504699707
11,0.3499282896518707,1.5997933149337769,0.34139785170555115,1.6119005680084229
12,0.35508155822753906,1.6090706586837769,0.37383511662483215,1.5670145750045776














